Municipality,Year,Masc,Fem,NA,Total,Pop.Masc,Pop.Fem,Grand Total
Badiraguato,1990,32,1,,33,20196,18689,38885
Badiraguato,1991,41,2,,43,20874,19215,40089
Badiraguato,1992,38,3,,41,21362,19569,40931
Badiraguato,1993,30,1,,31,21666,19756,41422
Badiraguato,1994,48,4,,52,21798,19783,41581
Badiraguato,1995,49,1,,50,21773,19668,41441
Badiraguato,1996,55,1,,56,21536,19505,41041
Badiraguato,1997,51,1,,52,21190,19232,40422
Badiraguato,1998,51,2,,53,20753,18883,39636
Badiraguato,1999,24,1,1,26,20254,18496,38750
Badiraguato,2000,35,1,,36,19720,18073,37793
Badiraguato,2001,39,1,,40,19198,17600,36798
Badiraguato,2002,27,2,,29,18682,17128,35810
Badiraguato,2003,17,,,17,18178,16667,34845
Badiraguato,2004,10,,,10,17697,16235,33932
Badiraguato,2005,18,,,18,17292,16141,33433
Badiraguato,2006,17,3,,20,16737,15631,32368
Badiraguato,2007,22,1,,23,16385,15310,31695
Badiraguato,2008,25,1,,26,16040,14996,31036
Cd. Juarez,1990,42,4,,46,420871,412473,833344
Cd. Juarez,1991,67,2,1,70,436713,426341,863054
Cd. Juarez,1992,50,6,,56,454297,441811,896108
Cd. Juarez,1993,89,9,,98,473121,458577,931698
Cd. Juarez,1994,203,14,,217,492686,476297,968983
Cd. Juarez,1995,281,49,,330,512598,494629,1007227
Cd. Juarez,1996,247,49,,296,532739,512916,1045655
Cd. Juarez,1997,222,40,,262,552390,530990,1083380
Cd. Juarez,1998,208,30,1,239,571259,548494,1119753
Cd. Juarez,1999,141,17,,158,589309,565084,1154393
Cd. Juarez,2000,226,30,,256,606434,579913,1186347
Cd. Juarez,2001,219,34,,253,621363,593722,1215085
Cd. Juarez,2002,234,33,,267,634980,605976,1240956
Cd. Juarez,2003,169,28,,197,647554,617093,1264647
Cd. Juarez,2004,191,17,,208,659749,627573,1287322
Cd. Juarez,2005,197,30,,227,676153,634149,1310302
Cd. Juarez,2006,204,14,,218,689414,645450,1334864
Cd. Juarez,2007,178,19,,197,702829,656958,1359787
Cd. Juarez,2008,1462,108,,1570,715927,668175,1384102
Tijuana,1990,112,14,,126,386573,368008,754581
Tijuana,1991,155,9,1,165,404863,384876,789739
Tijuana,1992,138,18,,156,423868,402234,826102
Tijuana,1993,155,15,,170,443430,420067,863497
Tijuana,1994,160,16,,176,463415,438362,901777
Tijuana,1995,197,12,,209,483642,457346,940988
Tijuana,1996,194,17,,211,504223,476981,981204
Tijuana,1997,179,10,,189,525227,497213,1022440
Tijuana,1998,298,24,,322,546926,518118,1065044
Tijuana,1999,334,26,,360,569743,540035,1109778
Tijuana,2000,236,13,,249,594406,562203,1156609
Tijuana,2001,186,22,,208,619711,584413,1204124
Tijuana,2002,241,23,1,265,644826,606280,1251106
Tijuana,2003,251,27,,278,669793,627825,1297618
Tijuana,2004,279,14,,293,694900,649319,1344219
Tijuana,2005,240,15,1,256,724972,667349,1392321
Tijuana,2006,275,25,,300,751523,688992,1440515
Tijuana,2007,197,10,,207,778830,711281,1490111
Tijuana,2008,683,50,,733,806374,733698,1540072
Acapulco,1990,66,8,,74,154139,160939,315078
Acapulco,1991,84,19,,103,164751,171955,336706
Acapulco,1992,116,17,,133,173875,181389,355264
Acapulco,1993,131,12,,143,181559,189483,371042
Acapulco,1994,147,19,,166,188021,196370,384391
Acapulco,1995,162,25,,187,193435,202354,395789
Acapulco,1996,120,17,,137,198368,207413,405781
Acapulco,1997,100,18,,118,202829,212102,414931
Acapulco,1998,186,26,,212,207202,216768,423970
Acapulco,1999,107,24,,131,211929,221870,433799
Acapulco,2000,56,9,,65,217033,227990,445023
Acapulco,2001,30,3,,33,222758,234729,457487
Acapulco,2002,69,14,,83,228708,241751,470459
Acapulco,2003,87,19,,106,234505,248729,483234
Acapulco,2004,29,2,,31,239946,255327,495273
Acapulco,2005,58,11,,69,243509,260241,503750
Acapulco,2006,98,21,,119,248534,266878,515412
Acapulco,2007,23,1,,24,251966,271865,523831
Acapulco,2008,35,12,,47,255253,276719,531972
Nuevo Laredo,1990,21,2,,23,113976,115623,229599
Nuevo Laredo,1991,24,3,,27,119399,120533,239932
Nuevo Laredo,1992,41,4,,45,124737,125217,249954
Nuevo Laredo,1993,49,2,,51,129926,129690,259616
Nuevo Laredo,1994,72,7,,79,134930,133948,268878
Nuevo Laredo,1995,57,4,,61,139774,137982,277756
Nuevo Laredo,1996,45,6,,51,144262,142016,286278
Nuevo Laredo,1997,39,2,,41,148543,145907,294450
Nuevo Laredo,1998,50,8,,58,152726,149651,302377
Nuevo Laredo,1999,74,8,,82,156884,153355,310239
Nuevo Laredo,2000,53,13,,66,161062,157007,318069
Nuevo Laredo,2001,43,7,,50,164961,160794,325755
Nuevo Laredo,2002,50,3,,53,168764,164446,333210
Nuevo Laredo,2003,59,5,,64,172442,168052,340494
Nuevo Laredo,2004,47,5,,52,176109,171677,347786
Nuevo Laredo,2005,148,14,3,165,180025,175807,355832
Nuevo Laredo,2006,148,17,,165,183734,179518,363252
Nuevo Laredo,2007,30,6,,36,187784,183577,371361
Nuevo Laredo,2008,45,12,,57,191787,187599,379386
Lazaro Cardenas,1990,58,3,,61,71437,67471,138908
Lazaro Cardenas,1991,74,3,,77,71897,68238,140135
Lazaro Cardenas,1992,47,4,,51,73101,69748,142849
Lazaro Cardenas,1993,53,8,,61,74865,71845,146710
Lazaro Cardenas,1994,72,7,,79,76991,74358,151349
Lazaro Cardenas,1995,65,4,,69,79295,77098,156393
Lazaro Cardenas,1996,55,6,,61,82029,79425,161454
Lazaro Cardenas,1997,41,6,,47,84513,81606,166119
Lazaro Cardenas,1998,40,1,,41,86578,83429,170007
Lazaro Cardenas,1999,32,3,,35,88092,84702,172794
Lazaro Cardenas,2000,30,2,,32,88855,85261,174116
Lazaro Cardenas,2001,20,2,,22,88512,85448,173960
Lazaro Cardenas,2002,25,7,,32,87585,85072,172657
Lazaro Cardenas,2003,34,8,,42,86277,84301,170578
Lazaro Cardenas,2004,36,3,,39,84788,83374,168162
Lazaro Cardenas,2005,36,3,,39,83414,82623,166037
Lazaro Cardenas,2006,61,8,,69,82301,81814,164115
Lazaro Cardenas,2007,25,4,,29,81440,81240,162680
Lazaro Cardenas,2008,59,12,,71,80566,80646,161212
Matamoros,1990,49,3,1,53,155966,157779,313745
Matamoros,1991,63,7,,70,159836,161594,321430
Matamoros,1992,54,6,,60,164654,166244,330898
Matamoros,1993,38,3,,41,170197,171591,341788
Matamoros,1994,49,10,,59,176269,177451,353720
Matamoros,1995,58,5,,63,182697,183652,366349
