Type,Name,Total,Soltera,Casada,Unión libre,Separada,Divorciada,Viuda,No especificado,Unmarried
State,Aguascalientes,27888,3014,17081,7017,28,23,10,715,0.371398079
State,Baja California,62491,4951,14977,20907,272,21,38,21325,0.636180343
State,Baja California Sur,12733,1170,5313,5861,36,4,11,338,0.571359419
State,Campeche,16103,1530,9111,5321,27,5,32,77,0.431486335
State,Coahuila de Zaragoza,59170,5164,35079,14781,80,26,25,4015,0.363992385
State,Colima,13786,1480,6005,6031,56,8,9,197,0.558098462
State,Chiapas,159278,12786,34413,94491,554,19,178,16837,0.758405234
State,Chihuahua,76752,21965,25283,12013,75,35,50,17331,0.574510695
State,Distrito Federal,203892,23783,81198,94223,446,23,87,4132,0.593522227
State,Durango,39225,3972,16822,13642,107,14,86,4582,0.514418497
State,Guanajuato,130727,11244,76626,24855,169,165,129,17539,0.323020108
State,Guerrero,113906,5953,62009,32815,617,19,1813,10680,0.399288939
State,Hidalgo,68911,6638,17130,32832,301,10,61,11939,0.699325985
State,Jalisco,157254,13950,83167,44445,411,138,190,14953,0.415555759
State,México,304542,33577,120204,144801,258,48,229,5425,0.598137184
State,Michoacán de Ocampo,100507,8828,56790,24780,255,23,179,9652,0.374938088
State,Morelos,40431,4625,14562,19127,112,12,43,1950,0.621579481
State,Nayarit,22183,2515,7970,9587,115,7,52,1937,0.606341993
State,Nuevo León,93185,6087,61919,20840,146,223,67,3903,0.306478349
State,Oaxaca,120642,13413,43131,41611,236,11,180,22060,0.562486052
State,Puebla,155559,14515,47866,80795,722,165,426,11070,0.668722186
State,Querétaro Arteaga,44894,4832,22696,15576,115,19,49,1607,0.475685541
State,Quintana Roo,28610,2896,12238,12394,57,5,12,1008,0.556626331
State,San Luis Potosí,59039,6158,29205,19480,54,64,33,4045,0.468942066
State,Sinaloa,60684,7455,29051,21832,236,13,103,1994,0.505009371
State,Sonora,55534,6565,23866,22664,209,24,38,2168,0.552786418
State,Tabasco,55256,6023,22160,22728,164,27,47,4107,0.566755948
State,Tamaulipas,76469,7138,35688,32359,285,23,92,884,0.527842826
State,Tlaxcala,27086,2527,11614,11751,313,33,143,705,0.559758917
State,Veracruz de Ignacio de la Llave,178486,19979,57180,82432,417,101,160,18217,0.643224828
State,Yucatán,38923,2658,26630,8691,14,33,28,869,0.300204972
State,Zacatecas,34592,2974,21084,8054,124,29,35,2292,0.347244582
