Year,Month,Male.Murders,Female.Murders,NA,Total
1985,Enero,9,2,,11
,Febrero,5,,,5
,Marzo,5,,,5
,Abril,1,2,,3
,Mayo,4,,1,5
,Junio,7,1,,8
,Julio,4,,,4
,Agosto,6,,1,7
,Septiembre,,,,
,Octubre,4,,,4
,Noviembre,1,,,1
,Diciembre,5,,,5
1986,Enero,5,2,1,8
,Febrero,,1,,1
,Marzo,3,,,3
,Abril,8,2,,10
,Mayo,4,,,4
,Junio,6,,,6
,Julio,4,,,4
,Agosto,12,2,,14
,Septiembre,8,1,,9
,Octubre,8,,,8
,Noviembre,,,,
,Diciembre,8,2,,10
,No Especificado,,,,
1987,Enero,3,,,3
,Febrero,3,,,3
,Marzo,1,,,1
,Abril,14,,,14
,Mayo,14,1,,15
,Junio,8,2,,10
,Julio,10,,,10
,Agosto,3,1,,4
,Septiembre,,,,
,Octubre,,,,
,Noviembre,,,,
,Diciembre,,,,
1988,Enero,2,,,2
,Febrero,5,1,,6
,Marzo,,,,
,Abril,5,,,5
,Mayo,5,,,5
,Junio,,,,
,Julio,,,,
,Agosto,1,,,1
,Septiembre,,,,
,Octubre,,,,
,Noviembre,2,,,2
,Diciembre,6,,,6
,No Especificado,,,,
1989,Enero,6,3,,9
,Febrero,12,3,,15
,Marzo,7,4,,11
,Abril,5,,1,6
,Mayo,8,2,,10
,Junio,11,1,,12
,Julio,5,,,5
,Agosto,6,,,6
,Septiembre,3,,,3
,Octubre,5,,,5
,Noviembre,3,,,3
,Diciembre,,,,
,No Especificado,,,,
1990,Enero,1,,,1
,Febrero,3,,,3
,Marzo,3,,,3
,Abril,6,,,6
,Mayo,5,,,5
,Junio,,1,,1
,Julio,4,,,4
,Agosto,7,,,7
,Septiembre,4,1,,5
,Octubre,6,,,6
,Noviembre,2,2,,4
,Diciembre,1,,,1
,No Especificado,,,,
1991,Enero,2,1,,3
,Febrero,2,,,2
,Marzo,3,,,3
,Abril,13,,,13
,Mayo,5,,,5
,Junio,9,1,,10
,Julio,3,,1,4
,Agosto,5,,,5
,Septiembre,7,,,7
,Octubre,4,,,4
,Noviembre,14,,,14
,Diciembre,,,,
,No Especificado,,,,
1992,Enero,,,,
,Febrero,4,,,4
,Marzo,3,,,3
,Abril,1,1,,2
,Mayo,4,1,,5
